Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify that after selecting checkbox which is available before 'Username' heading of the table on 'Users' page, all the checkboxes of user records of the current page should get selected",RE-116,10147,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,08/Sep/21 7:54 AM,08/Sep/21 9:51 AM,08/Sep/21 7:54 AM,08/Sep/21 9:51 AM,,0,,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000w7:,,RE Sprint 1,,,,,,,,Done
Email about the created account is not being sent to the newly added user on registered email id,RE-115,10146,Bug,To Do,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,08/Sep/21 7:05 AM,08/Sep/21 8:36 AM,08/Sep/21 7:16 AM,,,0,"Email about the created account is not being sent to the newly added user on registered email id

Steps to reproduce :-

#  Go to application
# Do log in process by using valid credentials
# Go to ‘Users’ module
# Go to ‘Add New User’ page by clicking on ‘Add New’ link under ‘Users’ module
# Verify ‘Send User Notification’ checkbox by selecting it 

Expected Result :-

Email about the created account should be sent to the newly added user on registered email id if checkbox of ‘Send User Notification’ is selected

Actual Result :-

Email about the created account is not being sent to the newly added user on registered email id when checkbox of ‘Send User Notification’ is selected

!notification-20210908-065721.JPG|width=100%!",,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,RE-60,RE-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 7:14 AM;ug:0b229844-6979-42c9-ab8d-17ba66d89635;notification-20210908-065721.JPG;https://corporateola333.atlassian.net/secure/attachment/10007/notification-20210908-065721.JPG,,,,,,{},,RE-1,,,,,0|i000vz:,,RE Sprint 1,,,,,,,,To Do
"Verify that after selecting checkbox of 'Send User Notification' field, an email about the account is sent on the registered email id of newly added user ",RE-114,10145,Test,Blocked,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,08/Sep/21 6:37 AM,08/Sep/21 9:59 AM,08/Sep/21 7:15 AM,,,0,‘Send User Notification’ field is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,RE-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000vr:,,RE Sprint 1,,,,,,,,In Progress
"'Price Low to High' option in 'Sort by' list, is not showing the result correctly",RE-113,10144,Bug,To Do,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,08/Sep/21 5:59 AM,08/Sep/21 8:20 AM,08/Sep/21 8:21 AM,,,0,"‘Price Low to High’ option in ‘sort by’ list is not showing the result correctly

Steps to reproduce :-

# Go to application
# Do log in process by using valid credentials
# Go to ‘Users’ module
# Click on ‘All users’ link under ‘Users’ module
# Click on ‘view’ option which is available below the username of admin 
# Verify ‘Price Low to High’ option in ‘sort by’ list 

Expected Result :-

‘Price Low to High’ option should display the property options as per their price from low to high

Actual Result :-

‘Price Low to High’ option is not displaying the property options as per their price from low to high

!newsort-20210908-061707.JPG|width=50%!",,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,RE-26,RE-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 6:18 AM;ug:0b229844-6979-42c9-ab8d-17ba66d89635;newsort-20210908-061707.JPG;https://corporateola333.atlassian.net/secure/attachment/10006/newsort-20210908-061707.JPG,,,,,,{},,RE-1,,,,,0|i000vj:,,RE Sprint 1,,,,,,,,To Do
"'Last Name' field on 'Add New User' page, is accepting input value having only digits",RE-112,10143,Bug,To Do,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,08/Sep/21 5:13 AM,08/Sep/21 8:38 AM,08/Sep/21 5:14 AM,,,0,"'Last Name' field on 'Add New User' page, is accepting input value having only digits

Steps to reproduce :-

# Go to application
# Do log in process by using valid credentials
# Go to ‘Users’ module
# Go to ‘Add New User’ page by clicking on ‘Add New’ link under ‘Users’ module
# Verify ‘Last Name’ field with input value having only digits

Expected Result :-

'Last Name' field should not accept input value having only digits

Actual Result :-

'Last Name' field is accepting the input value having only digits

!lastnamedigit-20210907-073112.JPG|width=100%!",,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,RE-60,RE-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 5:18 AM;ug:0b229844-6979-42c9-ab8d-17ba66d89635;lastnamedigit-20210907-073112.JPG;https://corporateola333.atlassian.net/secure/attachment/10005/lastnamedigit-20210907-073112.JPG,,,,,,{},,RE-1,,,,,0|i000vb:,,RE Sprint 1,,,,,,,,To Do
"'Last Name' field on 'Add New User' page, is accepting more than 50 characters",RE-111,10142,Bug,To Do,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,08/Sep/21 4:55 AM,08/Sep/21 8:31 AM,08/Sep/21 4:56 AM,,,0,"'Last Name' field on 'Add New User' page, is accepting more than 50 characters.

Steps to reproduce :-

# Go to application
# Do log in process by using valid credentials
# Go to ‘Users’ module
# Go to ‘Add New User’ page by clicking on ‘Add New’ link under ‘Users’ module
# Verify ‘Last Name’ field with more than 50 characters 

Expected Result :-

'Last Name' field should not accept more than 50 characters.

Actual Result :-

'Last Name' field is accepting more than 50 characters.

!lastname-20210907-071507.JPG|width=100%!",,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,RE-60,RE-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 5:11 AM;ug:0b229844-6979-42c9-ab8d-17ba66d89635;lastname-20210907-071507.JPG;https://corporateola333.atlassian.net/secure/attachment/10004/lastname-20210907-071507.JPG,,,,,,{},,RE-1,,,,,0|i000v3:,,RE Sprint 1,,,,,,,,To Do
"'First Name' field on 'Add New User' page, is accepting special characters",RE-110,10141,Bug,To Do,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,08/Sep/21 4:45 AM,08/Sep/21 8:26 AM,08/Sep/21 4:46 AM,,,0,"'First Name' field on 'Add New User' page, is accepting special characters.

Steps to reproduce :-

# Go to application
# Do log in process by using valid credentials
# Go to ‘Users’ module
# Go to ‘Add New User’ page by clicking on ‘Add New’ link under ‘Users’ module
# Verify ‘First Name’ field with special characters 

Expected Result :-

'First Name' field should not accept special characters.

Actual Result :-

'First Name' field is accepting special characters.

!fn-20210908-044145.JPG|width=100%!",,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,RE-60,RE-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 4:53 AM;ug:0b229844-6979-42c9-ab8d-17ba66d89635;fn-20210908-044145.JPG;https://corporateola333.atlassian.net/secure/attachment/10003/fn-20210908-044145.JPG,,,,,,{},,RE-1,,,,,0|i000uv:,,RE Sprint 1,,,,,,,,To Do
"'Email' field on 'Add New User' page, is accepting email id having trailing dot in the address",RE-109,10140,Bug,To Do,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,08/Sep/21 4:16 AM,08/Sep/21 8:28 AM,08/Sep/21 4:18 AM,,,0,"Email field is accepting email id having trailing dot in the address.

Steps to reproduce :-

1.Go to application

2. Do the log in process by using valid credentials

3.Go to ‘Users’ module

4.Go to ‘Add New User’ page by clicking on ‘Add New’ link under ‘Users’ module

5.Verify ‘Email’ field with email id having trailing dot in the address

Expected result :-

Email field should not accept the email id having trailing dot in address.

Actual result :-

Email field is accepting the email id having trailing dot in address.



!emailtraildot-20210907-051310.JPG|width=100%!",,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,RE-60,RE-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 4:25 AM;ug:0b229844-6979-42c9-ab8d-17ba66d89635;emailtraildot-20210907-051310.JPG;https://corporateola333.atlassian.net/secure/attachment/10002/emailtraildot-20210907-051310.JPG,,,,,,{},,RE-1,,,,,0|i000un:,,RE Sprint 1,,,,,,,,To Do
"'Email' field on 'Add New User' page, is accepting email id having leading dot in the address",RE-108,10139,Bug,To Do,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,08/Sep/21 3:47 AM,08/Sep/21 8:24 AM,08/Sep/21 3:47 AM,,,0,"Email field is accepting email id having leading dot in the address.

Steps to reproduce :-

1.Go to application

2. Do the log in process by using valid credentials

3.Go to ‘Users’ module

4.Go to ‘Add New User’ page by clicking on ‘Add New’ link under ‘Users’ module

5.Verify ‘Email’ field with email id having leading dot in the address

Expected result :-

Email field should not accept the email id having leading dot in address.

Actual result :-

Email field is accepting the email id having leading dot in address.

!emailleaddot-20210907-044719.JPG|width=100%!",,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,RE-60,RE-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 4:12 AM;ug:0b229844-6979-42c9-ab8d-17ba66d89635;emailleaddot-20210907-044719.JPG;https://corporateola333.atlassian.net/secure/attachment/10001/emailleaddot-20210907-044719.JPG,,,,,,{},,RE-1,,,,,0|i000uf:,,RE Sprint 1,,,,,,,,To Do
Verify 'Add New User' button with invalid email id provided by admin,RE-107,10138,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 5:24 PM,08/Sep/21 10:02 AM,07/Sep/21 7:07 PM,08/Sep/21 10:02 AM,,0,‘Add New User’ button is available on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000u7:,,RE Sprint 1,,,,,,,,Done
